# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,,
# Wed Sep 13 09:46:24 2017,,,,,,,
#,,,,,,,
# COLUMN plntname:       Planet Name,,,,,,,
# COLUMN ra:             RA [decimal],,,,,,,
# COLUMN rastr:          RA [sexagesimal],,,,,,,
# COLUMN dec:            Dec [decimal],,,,,,,
# COLUMN decstr:         Dec [sexagesimal],,,,,,,
# COLUMN glong:          Galactic longitude,,,,,,,
# COLUMN glat:           Galactic latitude,,,,,,,
#,,,,,,,
rowid,plntname,ra,rastr,dec,decstr,glong,glat
1,MOA 2011-BLG-028L b,270.854,18h03m24.96s,-29.213417,-29d12m48.3s,1.725752,-3.495602
9,MOA 2010-BLG-353L b,271.303917,18h05m12.94s,-27.293233,-27d17m35.6s,3.597801,-2.903537
11,OGLE 2005-BLG-169L b,271.522167,18h06m05.32s,-30.732639,-30d43m57.5s,0.676832,-4.739985
12,OGLE 2003-BLG-235L b,271.318125,18h05m16.35s,-28.895,-28d53m42.0s,2.202553,-3.694478
13,OGLE 2012-BLG-0724L b,268.968292,17h55m52.39s,-29.818528,-29d49m06.7s,0.385001,-2.370432
15,OGLE 2015-BLG-0954L b,270.184333,18h00m44.24s,-28.660889,-28d39m39.2s,1.918903,-2.713585
17,OGLE 2012-BLG-0563L b,271.4905,18h05m57.72s,-27.712,-27d42m43.2s,3.312164,-3.251965
19,MOA 2010-BLG-328L b,269.496333,17h57m59.12s,-30.715175,-30d42m54.6s,359.835949,-3.213775
26,OGLE 2012-BLG-26L b,263.577917,17h34m18.70s,-27.14275,-27d08m33.9s,0.19488,3.066576
28,OGLE 2015-BLG-0051L b,269.662537,17h58m39.01s,-28.031694,-28d01m54.1s,2.23748,-2.00263
32,MOA 2011-BLG-262L b,270.097833,18h00m23.48s,-31.245258,-31d14m42.9s,359.630583,-3.924346
33,OGLE 2005-BLG-169L b,271.522167,18h06m05.32s,-30.732639,-30d43m57.5s,0.676832,-4.739985
35,OGLE 2008-BLG-355L b,269.786708,17h59m08.81s,-30.759472,-30d45m34.1s,359.921637,-3.452388
