# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Sep 12 15:18:02 2017
#
# COLUMN star_name:      Star Name
# COLUMN hip_name:       HIP Name
# COLUMN hd_name:        HD Name
# COLUMN gj_name:        GJ Name
# COLUMN tm_name:        2MASS Name
# COLUMN st_exocatflag:  ExoCat List Flag
# COLUMN st_coronagflag: Exo-C List Flag
# COLUMN st_starshadeflag: Exo-S List Flag
# COLUMN st_wfirstflag:  WFIRST List Flag
# COLUMN st_lbtiflag:    LBTI List Flag
# COLUMN st_rvflag:      Known RV Data
# COLUMN st_ppnum:       Number of Planets in System
# COLUMN rastr:          RA [sexagesimal]
# COLUMN dec:            Dec [sexagesimal]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN st_dist:        Distance [pc]
# COLUMN st_disterr1:    Distance Upper Unc. [pc]
# COLUMN st_disterr2:    Distance Lower Unc. [pc]
# COLUMN st_vmag:        V-band [mag]
# COLUMN st_vmagerr:     V-band Unc. [mag]
# COLUMN st_bmv:         B-V [mag]
# COLUMN st_bmverr:      B-V Unc. [mag]
# COLUMN st_spttype:     Spectral Type
# COLUMN st_lbol:        Stellar Bolometric Luminosity [Solar]
# COLUMN st_lbolerr:     Stellar Bolometric Luminosity Unc. [Solar]
#
rowid,star_name,hip_name,hd_name,gj_name,tm_name,st_exocatflag,st_coronagflag,st_starshadeflag,st_wfirstflag,st_lbtiflag,st_rvflag,st_ppnum,rastr,dec,decstr,st_dist,st_disterr1,st_disterr2,st_vmag,st_vmagerr,st_bmv,st_bmverr,st_spttype,st_lbol,st_lbolerr
1,HIP 171,HIP 171,HD 224930,GJ 914 A,2MASS J00021014+2704570 A,1,0,1,0,0,0,0,00h02m09.65s,27.084489,+27d05m04.2s,12.17,0.38,-0.35,5.800,0.010,0.690,0.020,G3V,0.700,0.090
2,HD 142,HIP 522,HD 142,GJ 4.2 A,2MASS J00061921-4904307 A,1,1,0,0,0,1,2,00h06m18.66s,-49.075094,-49d04m30.3s,25.71,0.26,-0.25,5.700,0.020,0.520,0.010,F7V,3.000,0.110
3,HIP 544,HIP 544,HD 166,GJ 5,2MASS J00063674+2901175,1,0,1,0,0,1,0,00h06m36.53s,29.021935,+29d01m19.0s,13.67,0.14,-0.14,6.060,0.020,0.750,0.000,K0V,0.680,0.110
4,HIP 677,HIP 677,HD 358,,2MASS J00082326+2905253,1,1,0,0,0,0,0,00h08m23.17s,29.090828,+29d05m27.0s,29.74,0.30,-0.29,2.060,0.010,-0.050,0.010,B9p,251.040,0.060
5,HIP 746,HIP 746,HD 432,GJ 8,2MASS J00091071+5908591,1,1,0,0,0,0,0,00h09m10.09s,59.150218,+59d09m00.8s,16.78,0.17,-0.17,2.260,0.020,0.360,0.020,F2III-IV,29.090,0.060
6,HIP 910,HIP 910,HD 693,GJ 10,2MASS J00111587-1528043,1,1,0,0,1,0,0,00h11m15.91s,-15.467323,-15d28m02.4s,18.75,0.19,-0.19,4.890,0.010,0.490,0.010,F5V,3.380,0.060
7,HIP 1599,HIP 1599,HD 1581,GJ 17,2MASS J00200446-6452282,1,1,1,0,0,0,0,00h20m01.91s,-64.877623,-64d52m39.4s,8.59,,,4.230,0.010,0.580,0.010,G0V,1.330,0.050
8,HIP 2021,HIP 2021,HD 2151,GJ 19,2MASS J00254416-7715157,1,1,1,0,0,0,0,00h25m39.20s,-77.255035,-77d15m18.1s,7.46,,,2.820,0.010,0.620,0.010,G1IV,3.700,0.050
9,HIP 2072,HIP 2072,HD 2262,GJ 20,2MASS J00261219-4340475,1,1,0,0,0,0,0,00h26m12.12s,-43.679909,-43d40m47.7s,23.81,,,3.930,0.010,0.180,0.010,A6VN,12.770,0.050
10,HIP 2081,HIP 2081,HD 2261,GJ 9013,2MASS J00261699-4218216,1,1,0,0,0,0,0,00h26m16.87s,-42.305122,-42d18m18.4s,25.97,0.53,-0.51,2.400,0.010,1.080,0.020,K0IIIB,88.070,0.070
