_id,image,specimenID,species,sex,river
1,Delphinapterus_leucas_1933.10.13.2_skull_ventral.tiff,NHMUK_1933.10.13.2,Delphinapterus_leucas,Female,other
2,Delphinapterus_leucas_1933.10.13.4_skull_ventral.tiff,NHMUK_1933.10.13.4,Delphinapterus_leucas,Male,other
3,Delphinapterus_leucas_1933.10.13.1_skull_ventral.tiff,NHMUK_1933.10.13.1,Delphinapterus_leucas,Male,other
4,Delphinapterus_leucas_1952.10.30.2_skull_ventral.tiff,NHMUK_1952.10.30.2,Delphinapterus_leucas,NA,other
5,Delphinapterus_leucas_SW.1932.60_skull_ventral.tiff,NHMUK_SW.1932.60,Delphinapterus_leucas,Male,other
6,Delphinus_delphis_1888.5.20.2_skull_ventral.tiff,NHMUK_1888.5.20.2,Delphinus_delphis,NA,other
7,Delphinus_delphis_1946.12.24.3_skull_ventral.tiff,NHMUK_1946.12.24.3,Delphinus_delphis,Male,other
8,Delphinus_delphis_1973.106_skull_ventral.tiff,NHMUK_1973.106,Delphinus_delphis,NA,other
9,Delphinus_delphis_1946.12.24.1_skull_ventral.tiff,NHMUK_1946.12.24.1,Delphinus_delphis,Male,other
10,Grampus_griseus_SW.1927.25_skull_ventral.tiff,NHMUK_SW.1927.25,Grampus_griseus,NA,other
11,Grampus_griseus_SW.1929.7_skull_ventral.tiff,NHMUK_SW.1929.7,Grampus_griseus,NA,other
12,Grampus_griseus_SW.1933.14_skull_ventral.tiff,NHMUK_SW.1933.14,Grampus_griseus,NA,other
13,Grampus_griseus_SW.1938.7_skull_ventral.tiff,NHMUK_SW.1938.7,Grampus_griseus,Male,other
14,Grampus_griseus_SW.1940.6_skull_ventral.tiff,NHMUK_SW.1940.6,Grampus_griseus,Male,other
15,Inia_geoffrensis_GERM 1169b_skull_ventral.tiff,NHMUK_GERM 1169b,Inia_geoffrensis,NA,river
16,Inia_geoffrensis_1856.8.2.1_skull_ventral.tiff,NHMUK_1856.8.2.1,Inia_geoffrensis,NA,river
17,Inia_geoffrensis_1937.5.26.1_skull_ventral.tiff,NHMUK_1937.5.26.1,Inia_geoffrensis,Male,river
18,Inia_geoffrensis_1939.5.13.1_skull_ventral.tiff,NHMUK_1939.5.13.1,Inia_geoffrensis,NA,river
19,Lagenorhynchus_acutus_SW.1926.17_skull_ventral.tiff,NHMUK_SW.1926.17,Lagenorhynchus_acutus,NA,other
20,Lagenorhynchus_acutus_SW.1929.25_skull_ventral.tiff,NHMUK_SW.1929.25,Lagenorhynchus_acutus,Male,other
21,Lagenorhynchus_acutus_1920.6.28.1_skull_ventral.tiff,NHMUK_1920.6.28.1,Lagenorhynchus_acutus,Male,other
22,Lagenorhynchus_australis_1944.11.30.1_skull_ventral.tiff,NHMUK_1944.11.30.1,Lagenorhynchus_australis,NA,other
23,Lagenorhynchus_australis_1961.6.12.1_skull_ventral.tiff,NHMUK_1961.6.12.1,Lagenorhynchus_australis,NA,other
24,Lagenorhynchus_obscurus_1944.11.16.1_skull_ventral.tiff,NHMUK_1944.11.16.1,Lagenorhynchus_obscurus,Female,other
25,Lagenorhynchus_obscurus_1944.11.16.2_skull_ventral.tiff,NHMUK_1944.11.16.2,Lagenorhynchus_obscurus,Female,other
26,Lagenorhynchus_obscurus_1949.5.30.1_skull_ventral.tiff,NHMUK_1949.5.30.1,Lagenorhynchus_obscurus,NA,other
27,Lipotes_vexillifer_1922.6.22.1_skull_ventral.tiff,NHMUK_1922.6.22.1,Lipotes_vexillifer,Female,river
28,Mesoplodon_bidens_SW.1964.6.3.7_skull_ventral.tiff,NHMUK_SW.1964.6.3.7,Mesoplodon_bidens,Male,other
29,Mesoplodon_hectori_1949.8.19.1_skull_ventral.tiff,NHMUK_1949.8.19.1,Mesoplodon_hectori,NA,other
30,Monodon_monoceros_1937.10.30.2_skull_ventral.tiff,NHMUK_1937.10.30.2,Monodon_monoceros,Female,other
31,Monodon_monoceros_1885.2.20.1_skull_ventral.tiff,NHMUK_1885.2.20.1,Monodon_monoceros,NA,other
32,Monodon_monoceros_1937.10.30.1_skull_ventral.tiff,NHMUK_1937.10.30.1,Monodon_monoceros,Female,other
33,Monodon_monoceros_1949.11.2.1_skull_ventral.tiff,NHMUK_1949.11.2.1,Monodon_monoceros,Female,other
34,Neomeris_phocoenoides_1889.8.6.1_skull_ventral.tiff,NHMUK_1889.8.6.1,Neophocaena_phocaenoides,Female,other
35,Neomeris_phocoenoides_1902.6.10.65_skull_ventral.tiff,NHMUK_1902.6.10.65,Neophocaena_phocaenoides,NA,other
36,Neomeris_phocoenoides_1903.9.12.3_skull_ventral.tiff,NHMUK_1903.9.12.3,Neophocaena_phocaenoides,NA,other
37,Phocoena_phocoena_SW.1928.49_skull_ventral.tiff,NHMUK_SW.1928.49,Phocoena_phocoena,NA,other
38,Phocoena_phocoena_SW.1933.50_skull_ventral.tiff,NHMUK_SW.1933.50,Phocoena_phocoena,NA,other
39,Phocoena_dalli_1957.6.4.1_skull_ventral.tiff,NHMUK_1957.6.4.1,Phocoenoides_dalli,Male,other
40,Phocoena_dalli_1965.1.19.2_skull_ventral.tiff,NHMUK_1965.1.19.2,Phocoenoides_dalli,Male,other
41,Platanista_gangetica_1843.8.18.5_skull_ventral.tiff,NHMUK_1843.8.18.5,Platanista_gangetica,NA,river
42,Platanista_gangetica_1874.6.1.1_skull_ventral.tiff,NHMUK_1874.6.1.1,Platanista_gangetica,Female,river
43,Platanista_gangetica_1884.3.29.1_skull_ventral.tiff,NHMUK_1884.3.29.1,Platanista_gangetica,NA,river
44,Platanista_gangetica_GERM 334a_skull_ventral.tiff,NHMUK_GERM 344a,Platanista_gangetica,NA,river
45,Pontoporia_blainvillei_1866.12.13.1_skull_ventral.tiff,NHMUK_1866.12.13.1,Pontoporia_blainvillei,NA,river
46,Pontoporia_blainvillei_1925.11.21_skull_ventral.tiff,NHMUK_1925.11.21,Pontoporia_blainvillei,Male,river
47,Pontoporia_blainvillei_1939.4529_skull_ventral.tiff,NHMUK_1939.4529,Pontoporia_blainvillei,NA,river
48,Pseudorca_crassidens_1961.6.14.4_skull_ventral.tiff,NHMUK_1961.6.14.4,Pseudorca_crassidens,Female,other
49,Pseudorca_crassidens_1961.6.14.86_skull_ventral.tiff,NHMUK_1961.6.14.86,Pseudorca_crassidens,Male,other
50,Pseudorca_crassidens_1961.6.14.27_skull_ventral.tiff,NHMUK_1961.6.14.27,Pseudorca_crassidens,Female,other
51,Sousa_chinensis_1984.1759_skull_ventral.tiff,NHMUK_1984.1759,Sousa_chinensis,NA,other
52,Stenella_attenuata_1957.5.9.7_skull_ventral.tiff,NHMUK_1957.5.9.7,Stenella_attenuata,NA,other
53,Stenella_attenuata_1959.12.13.2_skull_ventral.tiff,NHMUK_1959.12.13.2,Stenella_attenuata,NA,other
54,Stenella_attenuata_1959.12.31.5_skull_ventral.tiff,NHMUK_1959.12.31.5,Stenella_attenuata,NA,other
55,Stenella_attenuata_1869.5.21.2_skull_ventral.tiff,NHMUK_1869.5.21.2,Stenella_attenuata,NA,other
56,Sousa_plumbea_1882.1.2.1_skull_ventral.tiff,NHMUK_1882.1.2.1,Stenella_clymene,NA,other
57,Sousa_plumbea_1948.3.13.2_skull_ventral.tiff,NHMUK_1948.3.13.2,Stenella_clymene,NA,other
58,Sousa_plumbea_1954.9.9.5_skull_ventral.tiff,NHMUK_1954.9.9.5,Stenella_clymene,Female,other
59,Sousa_plumbea_1992.92_skull_ventral.tiff,NHMUK_1992.92,Stenella_clymene,NA,other
60,Sousa_plumbea_1970.1509_skull_ventral.tiff,NHMUK_1970.1509,Stenella_clymene,NA,other
61,Stenella_euphrosyne_1938.2.5.1_skull_ventral.tiff,NHMUK_1938.2.5.1,Stenella_coeruleoalba,Female,other
62,Stenella_euphrosyne_1961.5.31.1_skull_ventral.tiff,NHMUK_1961.5.31.1,Stenella_coeruleoalba,NA,other
63,Stenella_euphrosyne_SW.1934.1_skull_ventral.tiff,NHMUK_SW.1934.1,Stenella_coeruleoalba,NA,other
64,Steno_bradanensis_1949.1.7.2_skull_ventral.tiff,NHMUK_1949.1.7.2,Steno_bredanensis,NA,other
65,Steno_bradanensis_1952.8.1.1_skull_ventral.tiff,NHMUK_1952.8.1.1,Steno_bredanensis,NA,other
66,Steno_bradanensis_GERM 345e_skull_ventral.tiff,NHMUK_GERM 345e,Steno_bredanensis,NA,other
67,Steno_bradanensis_GERM 345f_skull_ventral.tiff,NHMUK_GERM 345f,Steno_bredanensis,NA,other
68,Steno_bradanensis_1954.6.25.2_skull_ventral.tiff,NHMUK_1954.6.25.2,Steno_bredanensis,Male,other
69,REP1_Tursiops_aduncus_1949.10.27.3_skull_ventral.tiff,NHMUK_1949.10.27.3,Tursiops_aduncus,Male,other
70,REP1_Tursiops_aduncus_1954.9.9.4_skull_ventral.tiff,NHMUK_1954.9.9.4,Tursiops_aduncus,NA,other
71,REP1_Tursiops_aduncus_1970.1512_skull_ventral.tiff,NHMUK_1970.1512,Tursiops_aduncus,NA,other
72,Tursiops_aduncus_1964.9.2.2_skull_ventral.tiff,NHMUK_1964.9.2.2,Tursiops_aduncus,Female,other
73,Tursiops_truncatus_1952.7.30.3_skull_ventral.tiff,NHMUK_1952.7.30.3,Tursiops_truncatus,Male,other
74,Tursiops_truncatus_1952.7.30.6_skull_ventral.tiff,NHMUK_1952.7.30.6,Tursiops_truncatus,Female,other
75,Tursiops_truncatus_1960.5.11.10_skull_ventral.tiff,NHMUK_1960.5.11.10,Tursiops_truncatus,NA,other
76,Tursiops_truncatus_1960.5.11.7_skull_ventral.tiff,NHMUK_1960.5.11.7,Tursiops_truncatus,Female,other
77,Tursiops_truncatus_1960.5.11.9_skull_ventral.tiff,NHMUK_1960.5.11.9,Tursiops_truncatus,Male,other
